ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
17243,Área Infantil,95,ValdEmariN,9.0,MOnCLOa - ArAvAcA,OPERATIVO,433230.43,4479872.56,ETRS89,40.46684664,-3.78760007,AVENIDA,VALDEMARIN,109,28023.0,"CAMINO LA ZARZUELA  , ASCENDIENTE 1: 095 · V",20166358.0,2007/05/03,9107,AE21,11,infantil
17245,Área Infantil,91,CAsa De CAMpo,9.0,moNclOa - aravacA,OPERATIVO,438233.389,4475530.659,ETRS89,40.4281202,-3.72816864,AVENIDA,VALLADOLID,31,28008.0,"PARQUE LA BOMBILLA AVD. DE VALLADOLID Nº 31-33 (ZONA I), ASCENDIENTE 1: 0",11052080.0,fecha_incorrecta,9111,AE21,8,infantil
17247,Área Infantil,93,CiUDAd uniVeRSiTarIA,9.0,MoNCLOa - aRAvaca,OPERATIVO,439298.93,4478424.87,ETRS89,40.45427087,-3.71588441,CALLE,VALLS FERRERA,5,28040.0,"CALLE VALLS FERRERA , ASCENDIENTE 1: 093 · CI",11053418.0,2007-04-17 00:00:00,9113,AE21,8,infantil
17866,Área Infantil,146,vINaTeroS,14.0,mORATalAz,OPERATIVO,445357.595,4472992.167,ETRS89,40.40575045,-3.64396843,CALLE,CAÑADA,48,28030.0,"CAÑADA, 000048",11103028.0,01/01/07,14059,AE21,21,infantil
17868,Área Infantil,146,vInAtERos,14.0,mORAtALAz,OPERATIVO,445239.79,4472776.02,ETRS89,40.40379553,-3.6453381,CALLE,HACIENDA DE PAVONES,101,28030.0,"HACIENDA DE PAVONES, 000101",11103108.0,fecha_incorrecta,14061,AE21,14,infantil
17869,Área Infantil,145,FontArron,14.0,MoRaTalaZ,OPERATIVO,445121.22,4472672.11,ETRS89,40.40285164,-3.64672638,CALLE,HACIENDA DE PAVONES,24,28030.0,"HACIENDA DE PAVONES, 000024",11102319.0,2006-01-01 00:00:00,14062,AE21,18,infantil
17871,Área Infantil,146,VinaTerOS,14.0,mórátAlAz,OPERATIVO,445690.199,4472659.926,ETRS89,40.40277919,-3.64002053,CALLE,HACIENDA DE PAVONES,153,28030.0,"HACIENDA DE PAVONES, 000153",11102955.0,01/01/05,14064,AE21,15,infantil
17873,Área Infantil,145,fOnTaRroN,14.0,MorATaLAZ,OPERATIVO,445773.69,4472539.24,ETRS89,40.40169742,-3.63902639,CALLE,HACIENDA DE PAVONES,250,28030.0,"HACIENDA DE PAVONES, 000250",11102815.0,01-01-2000,14067,AE21,13,infantil
17875,Área Infantil,145,Fóntárrón,14.0,moRATALaZ,OPERATIVO,445872.376,4472434.222,ETRS89,40.40075777,-3.63785457,CALLE,HACIENDA DE PAVONES,310,28030.0,"HACIENDA DE PAVONES, 000310",11102863.0,01/01/2006,14069,AE21,6,infantil
17877,Área Infantil,145,foNtARROn,14.0,MOrátáLAz,OPERATIVO,445917.869,4472365.892,ETRS89,40.40014517,-3.6373127,CALLE,FUENTE CARRANTONA,7,28030.0,"FUENTE CARRANTONA, 000007",20157921.0,fecha_incorrecta,14072,AE21,24,infantil
17879,Área Infantil,141,PAvOnES,14.0,morAtaLAZ,OPERATIVO,446002.63,4472009.14,ETRS89,40.39693682,-3.63628366,CALLE,ENCOMIENDA DE PALACIOS,330,28030.0,"ENCOMIENDA DE PALACIOS, 000330",11101281.0,2004-01-01 00:00:00,14074,AE21,19,infantil
17881,Área Infantil,141,PávOnES,14.0,moRatALAz,OPERATIVO,446276.144,4472385.156,ETRS89,40.4003419,-3.6330926,CALLE,HACIENDA DE PAVONES,255,28030.0,"HACIENDA DE PAVONES, 000255",11101293.0,2006-01-01 00:00:00,14076,AE21,18,infantil
17883,Área Infantil,141,PAvONeS,14.0,mORATalAz,OPERATIVO,446332.11,4472699.21,ETRS89,40.40317471,-3.6324596,CALLE,VALDEBERNARDO,37,28030.0,"VALDEBERNARDO, 000037",11101323.0,2003-01-01 00:00:00,14078,AE21,13,infantil
17885,Área Infantil,146,ViNaTerOs,14.0,MoRatalAz,OPERATIVO,446027.48,4472556.31,ETRS89,40.40186768,-3.63603725,CALLE,FUENTE CARRANTONA,9,28030.0,"FUENTE CARRANTONA, 000009",20142023.0,01/01/2005,14081,AE21,22,infantil
17887,Área Infantil,144,MEDIA lEgúA,14.0,moRatAlaZ,OPERATIVO,443854.37,4473619.48,ETRS89,40.41130162,-3.66173839,CALLE,RAMON ARECES,16,28030.0,"RAMÓN ARECES, 000016",11102117.0,07/05/2007,14083,AE21,16,infantil
17889,Área Infantil,143,MaRroquINA,14.0,MORataLaz,OPERATIVO,445795.037,4473331.681,ETRS89,40.4088376,-3.63884234,CALLE,MOLINA DE SEGURA,2,28030.0,"MOLINA DE SEGURA, 000002",20158916.0,2006-01-01 00:00:00,14085,AE21,20,infantil
17249,Área Infantil,94,vALdEzaRZA,9.0,moNCloa - ArAVacA,OPERATIVO,439406.2,4479916.87,ETRS89,40.46771921,-3.71476185,CALLE,VALLE DE BERGANTIÑOS,7,28039.0,"CALLE VALDEVERDEJA , ASCENDIENTE 1: 094 · VAL",20102710.0,2006-11-22 00:00:00,9120,AE21,10,infantil
17251,Área Infantil,91,cáSA Dé cáMpO,9.0,MOncloa - arAVACA,OPERATIVO,437936.006,4475315.404,ETRS89,40.42615897,-3.73165321,PASEO,COMANDANTE FORTEA,25,28008.0,"PASEO COMANDANTE FORTEA 25 POST. , ASCENDIEN",11051547.0,07/05/2007,9123,AE21,9,infantil
17253,Área Infantil,91,CASA dE camPO,9.0,MóNClóá - ArAvAcA,OPERATIVO,437906.75,4473971.89,ETRS89,40.41405386,-3.73186691,CALLE,PRINCIPAL DE PROVINCIAS,7,28011.0,"CALLE PROVINCIAS (CASA DE CAMPO) FTE. RESTAURANTE LA PESQUERA, ASCENDIENTE 1: 091 ·",20173929.0,15/08/2010,9125,AE21,11,infantil
17255,Área Infantil,94,VaLDEzarza,9.0,MonCLoA - aRaVaCa,OPERATIVO,439697.85,4479557.43,ETRS89,40.46450246,-3.71128765,CALLE,SAN RESTITUTO,20,28039.0,"CALLE SAN RESTITUTO 18-20 , ASCENDIENTE 1: 09",11055221.0,03-20-2007,9127,AE21,5,infantil
17257,Área Infantil,97,aRAvAca,9.0,MoncLoa - aRaVaCA,OPERATIVO,433675.642,4478685.936,ETRS89,40.45619291,-3.7822249,CALLE,GOLONDRINA,4,28023.0,"CALLE GOLONDRINA , ASCENDIENTE 1: 097 · ARAVA",20063854.0,02/03/2006,9129,AE21,8,infantil
17260,Área Infantil,96,el pLANTIO,9.0,mONclóA - ARáVáCA,OPERATIVO,432049.697,4479468.648,ETRS89,40.46311239,-3.80148322,CALLE,RAFAEL BOTI,20,28023.0,"CALLE RAFAEL BOTI 22 POST. , ASCENDIENTE 1: 0",31009509.0,2008-02-18 00:00:00,9132,AE21,11,infantil
